location_name,quantile,target_end_date,value
California,0.01,2022-01-22,8.280165729692666
California,0.01,2022-01-29,10.111100471451785
California,0.01,2022-02-05,11.942035213210904
California,0.01,2022-02-12,10.718201208597815
California,0.01,2022-02-19,9.494367203984726
California,0.025,2022-01-22,10.82509010474186
California,0.025,2022-01-29,14.283566999485721
California,0.025,2022-02-05,17.74204389422958
California,0.025,2022-02-12,15.706777308704938
California,0.025,2022-02-19,13.671510723180294
California,0.05,2022-01-22,17.667135745426094
California,0.05,2022-01-29,21.147258119153417
California,0.05,2022-02-05,24.62738049288074
California,0.05,2022-02-12,22.06522682646945
California,0.05,2022-02-19,19.50307316005816
California,0.1,2022-01-22,39.07928453358849
California,0.1,2022-01-29,37.07898355112947
California,0.1,2022-02-05,35.078682568670445
California,0.1,2022-02-12,32.427756564297624
California,0.1,2022-02-19,29.7768305599248
California,0.15,2022-01-22,48.59923071408101
California,0.15,2022-01-29,46.10685493075711
California,0.15,2022-02-05,43.61447914743321
California,0.15,2022-02-12,41.31851557048371
California,0.15,2022-02-19,39.02255199353422
California,0.2,2022-01-22,55.086920928223975
California,0.2,2022-01-29,53.13819713899394
California,0.2,2022-02-05,51.1894733497639
California,0.2,2022-02-12,49.506361195432376
California,0.2,2022-02-19,47.82324904110085
California,0.25,2022-01-22,60.36113862767293
California,0.25,2022-01-29,59.303549424378886
California,0.25,2022-02-05,58.24596022108485
California,0.25,2022-02-12,57.376772902816
California,0.25,2022-02-19,56.50758558454715
California,0.3,2022-01-22,65.06552706555027
California,0.3,2022-01-29,65.04323558671817
California,0.3,2022-02-05,65.02094410788607
California,0.3,2022-02-12,65.13027681414029
California,0.3,2022-02-19,65.23960952039451
California,0.35,2022-01-22,69.5405247962469
California,0.35,2022-01-29,70.62162593058443
California,0.35,2022-02-05,71.70272706492194
California,0.35,2022-02-12,72.90515884036719
California,0.35,2022-02-19,74.10759061581243
California,0.4,2022-01-22,73.95014007118795
California,0.4,2022-01-29,76.18248107209867
California,0.4,2022-02-05,78.41482207300939
California,0.4,2022-02-12,80.77626245669688
California,0.4,2022-02-19,83.13770284038436
California,0.45,2022-01-22,78.40768449066643
California,0.45,2022-01-29,81.82860241799398
California,0.45,2022-02-05,85.24952034532154
California,0.45,2022-02-12,88.80555345100929
California,0.45,2022-02-19,92.36158655669703
California,0.5,2022-01-22,83.01426364726294
California,0.5,2022-01-29,87.61037270543362
California,0.5,2022-02-05,92.2064817636043
California,0.5,2022-02-12,97.01349135700916
California,0.5,2022-02-19,101.82050095041402
California,0.55,2022-01-22,87.89889252021027
California,0.55,2022-01-29,93.55443517009759
California,0.55,2022-02-05,99.20997781998491
California,0.55,2022-02-12,105.42354532209364
California,0.55,2022-02-19,111.63711282420238
California,0.6,2022-01-22,93.2601882650054
California,0.6,2022-01-29,99.8300295607796
California,0.6,2022-02-05,106.3998708565538
California,0.6,2022-02-12,114.23364688492705
California,0.6,2022-02-19,122.0674229133003
California,0.65,2022-01-22,99.3665002346155
California,0.65,2022-01-29,106.76997821816553
California,0.65,2022-02-05,114.17345620171558
California,0.65,2022-02-12,123.89342042919614
California,0.65,2022-02-19,133.61338465667671
California,0.7,2022-01-22,106.58997361507151
California,0.7,2022-01-29,114.74166518524878
California,0.7,2022-02-05,122.89335675542604
California,0.7,2022-02-12,135.01111380565706
California,0.7,2022-02-19,147.12887085588807
California,0.75,2022-01-22,115.65619775561126
California,0.75,2022-01-29,124.36239241268434
California,0.75,2022-02-05,133.06858706975743
California,0.75,2022-02-12,148.71312920947634
California,0.75,2022-02-19,164.35767134919527
California,0.8,2022-01-22,127.93089525475573
California,0.8,2022-01-29,136.7086371442355
California,0.8,2022-02-05,145.48637903371525
California,0.8,2022-02-12,167.28255796657737
California,0.8,2022-02-19,189.0787368994395
California,0.85,2022-01-22,146.95700479709404
California,0.85,2022-01-29,154.2854050566952
California,0.85,2022-02-05,161.61380531629635
California,0.85,2022-02-12,196.39179759975795
California,0.85,2022-02-19,231.16978988321955
California,0.9,2022-01-22,184.0320940846556
California,0.9,2022-01-29,184.84208595973564
California,0.9,2022-02-05,185.6520778348157
California,0.9,2022-02-12,254.25186006304068
California,0.9,2022-02-19,322.85164229126565
California,0.95,2022-01-22,284.1162293436992
California,0.95,2022-01-29,259.76700936658085
California,0.95,2022-02-05,235.41778938946248
California,0.95,2022-02-12,419.8729846734976
California,0.95,2022-02-19,604.3281799575327
California,0.975,2022-01-22,431.9341018059396
California,0.975,2022-01-29,367.1671003518304
California,0.975,2022-02-05,302.40009889772125
California,0.975,2022-02-12,665.0774436386201
California,0.975,2022-02-19,1027.754788379519
California,0.99,2022-01-22,843.9789573423405
California,0.99,2022-01-29,637.3718203780516
California,0.99,2022-02-05,430.76468341376255
California,0.99,2022-02-12,1021.1397771756998
California,0.99,2022-02-19,1611.514870937637
Florida,0.01,2022-01-22,22.615351187656632
Florida,0.01,2022-01-29,22.019162848979654
Florida,0.01,2022-02-05,21.42297451030268
Florida,0.01,2022-02-12,18.54195638609781
Florida,0.01,2022-02-19,15.660938261892936
Florida,0.025,2022-01-22,29.991886335856208
Florida,0.025,2022-01-29,30.400996486381864
Florida,0.025,2022-02-05,30.81010663690752
Florida,0.025,2022-02-12,27.39057982737531
Florida,0.025,2022-02-19,23.971053017843097
Florida,0.05,2022-01-22,39.73844133859155
Florida,0.05,2022-01-29,40.04272218512162
Florida,0.05,2022-02-05,40.34700303165168
Florida,0.05,2022-02-12,36.876450187852825
Florida,0.05,2022-02-19,33.40589734405396
Florida,0.1,2022-01-22,53.1325779004689
