qid,DOA,interval,densityValue,created_time,published_time,resolve_time,target_end_date,location_name,b,exponent
9324,2022-01-24,4.0,0.01478,2022-01-11T15:38:38.293426Z,2022-01-12T16:00:00Z,2022-01-24T17:00:00Z,2022-01-22,New York,4.0,5.991464547107982
9324,2022-01-24,4.12164223164501,0.01564,2022-01-11T15:38:38.293426Z,2022-01-12T16:00:00Z,2022-01-24T17:00:00Z,2022-01-22,New York,4.0,5.991464547107982
9324,2022-01-24,4.2469836714199145,0.01654,2022-01-11T15:38:38.293426Z,2022-01-12T16:00:00Z,2022-01-24T17:00:00Z,2022-01-22,New York,4.0,5.991464547107982
9324,2022-01-24,4.376136814307774,0.01751,2022-01-11T15:38:38.293426Z,2022-01-12T16:00:00Z,2022-01-24T17:00:00Z,2022-01-22,New York,4.0,5.991464547107982
9324,2022-01-24,4.509217576326844,0.01855,2022-01-11T15:38:38.293426Z,2022-01-12T16:00:00Z,2022-01-24T17:00:00Z,2022-01-22,New York,4.0,5.991464547107982
9324,2022-01-24,4.646345398566169,0.01966,2022-01-11T15:38:38.293426Z,2022-01-12T16:00:00Z,2022-01-24T17:00:00Z,2022-01-22,New York,4.0,5.991464547107982
9324,2022-01-24,4.787643354384947,0.02085,2022-01-11T15:38:38.293426Z,2022-01-12T16:00:00Z,2022-01-24T17:00:00Z,2022-01-22,New York,4.0,5.991464547107982
9324,2022-01-24,4.933238259871894,0.02212,2022-01-11T15:38:38.293426Z,2022-01-12T16:00:00Z,2022-01-24T17:00:00Z,2022-01-22,New York,4.0,5.991464547107982
9324,2022-01-24,5.083260787663734,0.02348,2022-01-11T15:38:38.293426Z,2022-01-12T16:00:00Z,2022-01-24T17:00:00Z,2022-01-22,New York,4.0,5.991464547107982
9324,2022-01-24,5.237845584224981,0.02495,2022-01-11T15:38:38.293426Z,2022-01-12T16:00:00Z,2022-01-24T17:00:00Z,2022-01-22,New York,4.0,5.991464547107982
